*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 11, 2016; 19:59:12

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0145 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT   SW1D   SW2D   SW3D   SW4D   SW5D   SW6D   SW7D   SW8D   SW9D   SW10
 1991 026   171   174    138    305    752     1    25   137  0.234  0.387  0.409  0.429  0.416  0.375  0.255  0.338  0.000  0.000
 1991 027   172   173    138    305    752     1    25   137  0.229  0.382  0.408  0.429  0.416  0.375  0.255  0.338  0.000  0.000
 1991 028   173   172    138    305    752     1    25   137  0.225  0.379  0.407  0.429  0.416  0.375  0.255  0.338  0.000  0.000
 1991 029   174   171    138    305    752     1    25   137  0.221  0.375  0.406  0.429  0.416  0.375  0.255  0.338  0.000  0.000
 1991 030   175   189    138    306    772     1    25   137  0.403  0.431  0.417  0.433  0.417  0.375  0.254  0.339  0.000  0.000
 1991 031   176   182    138    309    772     1    25   137  0.326  0.416  0.413  0.430  0.415  0.375  0.254  0.339  0.000  0.000
 1991 032   177   177    138    310    772     1    25   137  0.269  0.402  0.410  0.430  0.415  0.375  0.254  0.339  0.000  0.000
 1991 033   178   176    138    310    772     1    25   137  0.256  0.395  0.410  0.430  0.415  0.375  0.254  0.339  0.000  0.000
 1991 034   179   175    138    310    772     1    25   137  0.247  0.389  0.409  0.430  0.415  0.375  0.254  0.339  0.000  0.000
 1991 035   180   174    138    310    772     1    25   137  0.240  0.384  0.409  0.430  0.415  0.375  0.254  0.339  0.000  0.000
 1991 036   181   173    138    310    772     1    25   137  0.235  0.380  0.408  0.430  0.415  0.375  0.254  0.339  0.000  0.000
 1991 037   182   172    138    310    772     1    25   137  0.230  0.377  0.407  0.430  0.415  0.375  0.254  0.339  0.000  0.000
 1991 038   183   172    138    310    772     1    25   137  0.226  0.374  0.406  0.430  0.415  0.375  0.254  0.339  0.000  0.000
 1991 039   184   171    138    310    772     1    25   137  0.222  0.371  0.405  0.430  0.415  0.375  0.254  0.339  0.000  0.000
 1991 040   185   170    138    310    772     1    25   137  0.218  0.369  0.404  0.430  0.415  0.375  0.254  0.339  0.000  0.000
 1991 041   186   170    138    310    772     1    25   137  0.215  0.367  0.403  0.429  0.415  0.375  0.254  0.339  0.000  0.000
 1991 042   187   169    138    310    772     1    25   137  0.211  0.365  0.402  0.429  0.415  0.375  0.254  0.339  0.000  0.000
 1991 043   188   169    138    310    772     1    25   137  0.208  0.363  0.401  0.429  0.415  0.375  0.254  0.339  0.000  0.000
 1991 044   189   168    138    310    772     1    25   137  0.205  0.361  0.400  0.428  0.415  0.375  0.254  0.339  0.000  0.000
 1991 045   190   168    138    310    772     1    25   137  0.203  0.359  0.399  0.428  0.415  0.375  0.254  0.339  0.000  0.000
 1991 046   191   167    138    310    772     1    25   137  0.200  0.358  0.398  0.428  0.415  0.375  0.254  0.339  0.000  0.000
 1991 047   192   167    138    310    772     1    25   137  0.197  0.357  0.397  0.427  0.415  0.375  0.254  0.339  0.000  0.000
 1991 048   193   166    138    310    772     1    25   137  0.195  0.355  0.397  0.427  0.415  0.375  0.254  0.339  0.000  0.000
 1991 049   194   166    138    310    772     1    25   137  0.192  0.354  0.396  0.426  0.415  0.375  0.254  0.339  0.000  0.000
 1991 050   195   166    138    310    772     1    25   137  0.190  0.353  0.395  0.426  0.415  0.375  0.254  0.339  0.000  0.000
 1991 051   196   181    138    310    788     1    25   137  0.431  0.388  0.395  0.426  0.415  0.375  0.254  0.339  0.000  0.000
 1991 052   197   180    138    310    788     1    25   137  0.387  0.397  0.395  0.425  0.415  0.375  0.254  0.339  0.000  0.000
 1991 053   198   177    138    310    789     1    25   137  0.336  0.397  0.396  0.425  0.415  0.375  0.254  0.339  0.000  0.000
 1991 054   199   176    138    310    789     1    25   137  0.318  0.392  0.396  0.425  0.415  0.375  0.254  0.339  0.000  0.000
 1991 055   200   175    138    310    789     1    25   137  0.307  0.387  0.397  0.424  0.415  0.375  0.254  0.339  0.000  0.000
 1991 056   201   174    138    310    789     1    25   137  0.298  0.382  0.397  0.424  0.415  0.375  0.254  0.339  0.000  0.000
