*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 20:22:29

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0398 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 2000 029   162   159   261.0   206.4    27.1    6.16    1.14    246.3   147.3    11.4    15.7    2.59    0.81     1.6    1.0    0.0   81.15    7.70
 2000 030   163   160   258.4   207.8    23.8    6.16    1.08    246.3   147.3     8.9    14.9    2.55    0.80     1.6    1.0    0.0   83.85    8.19
 2000 031   164   161   256.3   209.3    21.2    6.16    1.01    246.3   147.3     6.9    14.2    2.49    0.78     1.5    1.0    0.0   85.96    8.65
 2000 032   165   162   254.7   210.0    19.3    6.16    0.96    246.3   147.3     5.5    13.8    2.47    0.78     1.5    1.0    0.0   87.60    9.07
 2000 033   166   163   253.4   210.0    18.0    6.16    0.94    246.3   147.3     4.4    13.6    2.48    0.78     1.5    1.0    0.0   88.89    9.48
 2000 034   167   164   252.4   210.1    16.9    6.16    0.91    246.3   147.3     3.5    13.4    2.48    0.78     1.5    1.0    0.0   89.93    9.86
 2000 035   168   165   251.6   210.4    16.0    6.16    0.88    246.3   147.3     2.8    13.2    2.47    0.78     1.5    1.0    0.0   90.76   10.22
 2000 036   169   166   250.9   210.4    15.3    6.16    0.87    246.3   147.3     2.2    13.1    2.48    0.78     1.5    1.0    0.0   91.41   10.55
 2000 037   170   167   250.4   210.4    14.8    6.16    0.85    246.3   147.3     1.8    13.0    2.48    0.78     1.5    1.0    0.0   91.94   10.87

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 20:22:29

*RUN   2        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0398 SB    late to create DSS                             
