*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 11, 2016; 19:59:17

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0147 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT   SW1D   SW2D   SW3D   SW4D   SW5D   SW6D   SW7D   SW8D   SW9D   SW10
 1991 015   160    96      6    175    690     2    72   125  0.386  0.456  0.457  0.363  0.359  0.357  0.347  0.338  0.000  0.000
 1991 016   161    92      6    175    690     2    72   125  0.373  0.445  0.450  0.362  0.357  0.356  0.346  0.337  0.000  0.000
 1991 017   162   115      6    175    690     3   102   125  0.526  0.555  0.490  0.360  0.356  0.354  0.345  0.336  0.000  0.000
 1991 018   163   108      6    175    690     3   102   125  0.475  0.524  0.488  0.359  0.354  0.353  0.343  0.334  0.000  0.000
 1991 019   164   102      6    175    690     3   102   125  0.454  0.499  0.480  0.359  0.353  0.352  0.342  0.333  0.000  0.000
 1991 020   165    97      6    175    690     3   102   125  0.417  0.483  0.473  0.359  0.352  0.351  0.341  0.333  0.000  0.000
 1991 021   166   149      6    175    744     3   102   125  0.560  0.556  0.563  0.470  0.399  0.351  0.341  0.332  0.000  0.000
 1991 022   167   149      6    175    752     3   102   125  0.498  0.562  0.562  0.462  0.428  0.351  0.340  0.332  0.000  0.000

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 11, 2016; 19:59:17

*RUN   2        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0147 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT   SW1D   SW2D   SW3D   SW4D   SW5D   SW6D   SW7D   SW8D   SW9D   SW10
 1991 220     0   116      0      0      0     0     0   125  0.348  0.394  0.394  0.335  0.375  0.419  0.408  0.395  0.000  0.000
 1991 221     1   115      0      0      0     0     0   125  0.329  0.393  0.394  0.335  0.376  0.418  0.408  0.395  0.000  0.000
 1991 222     2   114      0      0      0     0     0   125  0.318  0.391  0.394  0.336  0.376  0.418  0.408  0.395  0.000  0.000
 1991 223     3   155      0      0      0     1    43   125  0.541  0.566  0.478  0.336  0.377  0.417  0.408  0.395  0.000  0.000
 1991 224     4   153      0      0      0     1    43   125  0.494  0.546  0.489  0.338  0.377  0.417  0.408  0.395  0.000  0.000
 1991 225     5   150      0      0      0     1    43   125  0.483  0.521  0.493  0.341  0.378  0.416  0.408  0.395  0.000  0.000
 1991 226     6   147      0      0      0     1    43   125  0.438  0.508  0.492  0.343  0.378  0.416  0.408  0.395  0.000  0.000
