*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 18:48:23

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0359 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   PRED   DYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 2000 020   153    0.0   13.8   14.8   30.8   61.6   0.04   34.3   16.3   25.4   28.7   16.3   25.4   28.7   86.4    330
 2000 021   154    0.0   13.8   14.8   23.6   47.2   0.26   35.0   17.7   26.4   29.6   17.7   26.4   29.6   86.4    330
 2000 022   155    0.0   13.7   14.8   12.0   24.0   0.62   28.0   21.0   24.5   25.8   21.0   24.5   25.8   86.4    330
 2000 023   156    0.0   13.7   14.8   29.4   58.8   0.08   28.7   17.6   23.2   25.2   17.6   23.2   25.2   86.4    330
 2000 024   157    0.0   13.7   14.8   21.4   42.8   0.33   28.5   17.6   23.1   25.1   17.6   23.1   25.1   86.4    330

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 18:48:23

*RUN   2        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0359 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   PRED   DYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 2000 232     0    0.0   11.0   11.9   17.3   34.6   0.10   27.5    8.2   17.2   20.8    8.2   17.2   20.8   86.4    330
 2000 233     1    6.0   11.0   11.9    5.0   10.0   0.74   18.4   14.4   16.3   17.0   14.4   16.3   17.0   86.4    330
 2000 234     2    4.0   11.0   12.0    8.5   17.0   0.57   24.0   15.8   19.6   21.2   15.8   19.6   21.2   86.4    330
 2000 235     3    2.0   11.1   12.0   10.0   20.0   0.49   25.3   14.7   19.6   21.6   14.7   19.6   21.6   86.4    330
 2000 236     4    4.8   11.1   12.0    7.6   15.2   0.62   21.6   15.6   18.4   19.5   15.6   18.4   19.5   86.4    330
 2000 237     5   19.8   11.1   12.1    5.5   11.0   0.73   18.0   16.1   17.0   17.3   16.1   17.0   17.3   86.4    330
 2000 238     6    0.0   11.2   12.1    5.2   10.4   0.74   16.1   11.8   13.8   14.6   11.8   13.8   14.6   86.4    330
 2000 239     7    0.0   11.2   12.1   17.2   34.4   0.16   16.4    7.1   11.5   13.2    7.1   11.5   13.2   86.4    330
 2000 240     8    0.0   11.2   12.1   19.2   38.4   0.07   18.9    3.6   10.8   13.7    3.6   10.8   13.7   86.4    330
 2000 241     9    0.0   11.3   12.2   17.7   35.4   0.15   11.3    2.0    6.4    8.1    2.0    6.4    8.1   86.4    330
 2000 242    10    0.0   11.3   12.2   16.6   33.2   0.21   17.3    2.4    9.4   12.3    2.4    9.4   12.3   86.4    330
 2000 243    11    0.0   11.3   12.2   17.0   34.0   0.19   21.4    3.5   11.9   15.4    3.5   11.9   15.4   86.4    330
 2000 244    12    0.0   11.4   12.3   13.9   27.8   0.35   15.1    4.8    9.6   11.6    4.8    9.6   11.6   86.4    330
 2000 245    13    0.0   11.4   12.3   19.2   38.4   0.10   14.3   -0.9    6.2    9.2   -0.9    6.2    9.2   86.4    330
 2000 246    14    0.0   11.4   12.3   19.3   38.6   0.11   15.9   -0.8    7.1   10.3   -0.8    7.1   10.3   86.4    330
 2000 247    15    0.0   11.4   12.4   19.6   39.2   0.10   16.9    0.4    8.2   11.4    0.4    8.2   11.4   86.4    330
 2000 248    16    0.0   11.5   12.4   20.1   40.2   0.08   20.4    3.4   11.4   14.7    3.4   11.4   14.7   86.4    330
 2000 249    17    0.0   11.5   12.4   19.0   38.0   0.14   20.4    1.1   10.2   14.0    1.1   10.2   14.0   86.4    330
 2000 250    18    0.0   11.5   12.5   20.5   41.0   0.08   21.5    3.4   12.0   15.5    3.4   12.0   15.5   86.4    330
 2000 251    19    0.0   11.6   12.5   19.6   39.2   0.13   26.0    9.2   17.1   20.4    9.2   17.1   20.4   86.4    330
 2000 252    20    0.0   11.6   12.5   19.3   38.6   0.15   27.0   13.1   19.7   22.4   13.1   19.7   22.4   86.4    330
 2000 253    21   12.0   11.6   12.6    5.9   11.8   0.74   22.2   13.9   17.8   19.5   13.9   17.8   19.5   86.4    330
 2000 254    22   46.0   11.7   12.6   11.4   22.8   0.50   23.8   15.9   19.6   21.2   15.9   19.6   21.2   86.4    330
 2000 255    23    0.0   11.7   12.6    8.8   17.6   0.62   21.9   11.3   16.3   18.4   11.3   16.3   18.4   86.4    330
 2000 256    24    0.0   11.7   12.6   10.5   21.0   0.55   14.6    7.6   10.9   12.3    7.6   10.9   12.3   86.4    330
 2000 257    25   22.0   11.8   12.7    6.1   12.2   0.74    9.5    6.2    7.8    8.4    6.2    7.8    8.4   86.4    330
 2000 258    26   12.0   11.8   12.7    6.2   12.4   0.74   10.7    7.9    9.2    9.8    7.9    9.2    9.8   86.4    330
 2000 259    27    0.0   11.8   12.7    7.7   15.4   0.68   14.6    9.1   11.7   12.8    9.1   11.7   12.8   86.4    330
 2000 260    28    0.0   11.9   12.8   13.5   27.0   0.44   16.7   10.5   13.5   14.7   10.5   13.5   14.7   86.4    330
