*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 29, 2016; 09:16:37

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0405 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   SRAA   TMXA   TMNA   EOAA   ETAA   EPAA   ESAA   EFAD   ETAC   EPAC   ESAC   EFAC
 2001 028   156   8.70  21.60  18.50  1.933  1.933  0.919  1.014  0.000  581.9  279.1  302.9    0.0
 2001 029   157  28.00  26.90  12.20  6.308  6.308  2.981  3.327  0.000  588.2  282.0  306.2    0.0
 2001 030   158  29.30  26.40  15.70  6.749  6.441  4.122  2.319  0.000  594.7  286.2  308.5    0.0
 2001 031   159  26.50  30.50  18.10  6.516  6.045  3.956  2.088  0.000  600.7  290.1  310.6    0.0
 2001 032   160  18.70  30.20  20.80  4.733  3.800  2.479  1.321  0.000  604.5  292.6  311.9    0.0
 2001 033   161  28.80  32.40  20.60  7.540  4.410  3.358  1.052  0.000  608.9  295.9  313.0    0.0
 2001 034   162  26.00  25.70  17.20  6.227  3.230  2.330  0.901  0.000  612.2  298.3  313.9    0.0
 2001 035   163  29.50  28.60  14.10  7.202  7.202  1.650  5.552  0.000  619.4  299.9  319.4    0.0
 2001 036   164  28.60  27.50  18.70  7.199  5.560  1.849  3.711  0.000  624.9  301.8  323.1    0.0
 2001 037   165  29.30  31.60  16.20  7.631  3.128  1.606  1.522  0.000  628.0  303.4  324.7    0.0
 2001 038   166  29.30  34.30  20.30  8.135  2.539  1.396  1.143  0.000  630.6  304.8  325.8    0.0
 2001 039   167  12.40  29.90  20.30  3.301  3.301  0.305  2.996  0.000  633.9  305.1  328.8    0.0
 2001 040   168  22.60  32.40  20.00  6.191  5.743  0.702  5.041  0.000  639.6  305.8  333.8    0.0
 2001 041   169  10.50  31.30  21.60  2.884  2.078  0.265  1.813  0.000  641.7  306.1  335.7    0.0
 2001 042   170  20.10  33.30  21.30  5.642  5.642  0.267  5.375  0.000  647.3  306.3  341.0    0.0

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 29, 2016; 09:16:37

*RUN   2        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0405 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   SRAA   TMXA   TMNA   EOAA   ETAA   EPAA   ESAA   EFAD   ETAC   EPAC   ESAC   EFAC
 2001 238     0  11.20  28.30  14.30  2.858  2.858  0.000  2.858  0.000    2.9    0.0    2.9    0.0
 2001 239     1  12.80  20.40   6.50  2.769  2.769  0.000  2.769  0.000    5.6    0.0    5.6    0.0
 2001 240     2  14.10  16.00   4.80  2.819  1.841  0.000  1.841  0.000    7.5    0.0    7.5    0.0
 2001 241     3  18.30  23.20   8.30  4.176  4.176  0.000  4.176  0.000   11.6    0.0   11.6    0.0
 2001 242     4  16.60  25.40  13.30  4.060  4.060  0.000  4.060  0.000   15.7    0.0   15.7    0.0
 2001 243     5   6.40  22.00  17.40  1.553  1.553  0.000  1.553  0.000   17.3    0.0   17.3    0.0
 2001 244     6   5.50  19.00  16.30  1.274  1.274  0.000  1.274  0.000   18.5    0.0   18.5    0.0
 2001 245     7   5.50  16.30  13.50  1.199  1.199  0.000  1.199  0.000   19.7    0.0   19.7    0.0
 2001 246     8   5.60  15.20  13.20  1.199  1.199  0.000  1.199  0.000   20.9    0.0   20.9    0.0
 2001 247     9   5.60  13.60  10.00  1.137  1.137  0.000  1.137  0.000   22.1    0.0   22.1    0.0
 2001 248    10   9.10  16.00   9.20  1.899  1.899  0.000  1.899  0.000   24.0    0.0   24.0    0.0
 2001 249    11   8.40  18.10  10.60  1.828  1.828  0.000  1.828  0.000   25.8    0.0   25.8    0.0
 2001 250    12   5.80  17.30  14.30  1.291  1.291  0.000  1.291  0.000   27.1    0.0   27.1    0.0
 2001 251    13  20.50  18.10   9.20  4.405  4.405  0.000  4.405  0.000   31.5    0.0   31.5    0.0
 2001 252    14  10.00  15.90   7.10  2.041  1.351  0.008  1.343  0.000   32.8    0.0   32.8    0.0
 2001 253    15  19.60  17.20   5.40  4.010  2.629  0.017  2.612  0.000   35.5    0.0   35.4    0.0
 2001 254    16  20.90  17.00   5.70  4.275  1.426  0.019  1.407  0.000   36.9    0.0   36.9    0.0
 2001 255    17  16.10  19.70   3.80  3.362  2.415  0.015  2.400  0.000   39.3    0.1   39.3    0.0
 2001 256    18  15.70  21.30   7.70  3.473  1.227  0.017  1.210  0.000   40.5    0.1   40.5    0.0
 2001 257    19  12.60  15.70   7.20  2.566  1.007  0.013  0.994  0.000   41.5    0.1   41.5    0.0
 2001 258    20  16.70  13.90   5.20  3.246  1.297  0.017  1.280  0.000   42.8    0.1   42.7    0.0
 2001 259    21  14.40  12.00   5.00  2.712  0.917  0.015  0.902  0.000   43.8    0.1   43.6    0.0
 2001 260    22  19.40  16.20   2.90  3.815  0.822  0.021  0.801  0.000   44.6    0.1   44.4    0.0
 2001 261    23  21.10  22.50   6.20  4.680  0.755  0.026  0.728  0.000   45.3    0.2   45.2    0.0
 2001 262    24  16.10  23.20  10.00  3.725  0.695  0.022  0.672  0.000   46.0    0.2   45.8    0.0
 2001 263    25  21.70  25.50  11.80  5.245  0.661  0.033  0.628  0.000   46.7    0.2   46.5    0.0
 2001 264    26  10.90  25.00  14.50  2.676  0.609  0.018  0.591  0.000   47.3    0.2   47.1    0.0
 2001 265    27  15.90  25.80  12.80  3.888  0.589  0.029  0.560  0.000   47.9    0.3   47.6    0.0
 2001 266    28  13.40  23.50  14.50  3.230  0.559  0.026  0.533  0.000   48.4    0.3   48.1    0.0
 2001 267    29  11.90  26.40  16.70  3.022  3.022  0.016  3.006  0.000   51.5    0.3   51.2    0.0
 2001 268    30   6.60  19.30  11.20  1.466  1.466  0.008  1.457  0.000   52.9    0.3   52.6    0.0
 2001 269    31   9.90  17.50  10.40  2.130  1.557  0.021  1.536  0.000   54.5    0.3   54.1    0.0
 2001 270    32   6.70  15.30   9.80  1.390  1.390  0.009  1.380  0.000   55.9    0.4   55.5    0.0
 2001 271    33   6.90  21.00  13.60  1.599  1.599  0.011  1.588  0.000   57.5    0.4   57.1    0.0
 2001 272    34  12.00  21.30  16.00  2.848  2.848  0.023  2.825  0.000   60.3    0.4   59.9    0.0
 2001 273    35   6.90  19.10  16.20  1.595  1.595  0.014  1.581  0.000   61.9    0.4   61.5    0.0
 2001 274    36   6.90  19.00  16.30  1.594  1.594  0.016  1.578  0.000   63.5    0.4   63.1    0.0
 2001 275    37   8.10  17.80  14.00  1.805  1.805  0.020  1.786  0.000   65.3    0.4   64.9    0.0
 2001 276    38   7.90  19.60  13.30  1.791  1.791  0.021  1.770  0.000   67.1    0.5   66.7    0.0
 2001 277    39  13.20  21.20  14.20  3.078  3.078  0.040  3.038  0.000   70.2    0.5   69.7    0.0
 2001 278    40  19.20  19.60  13.40  4.355  3.862  0.102  3.760  0.000   74.1    0.6   73.5    0.0
 2001 279    41  17.00  20.20  13.50  3.888  2.891  0.099  2.792  0.000   76.9    0.7   76.2    0.0
 2001 280    42   7.20  19.30  14.80  1.646  1.646  0.028  1.617  0.000   78.6    0.7   77.9    0.0
 2001 281    43  11.90  19.30  14.30  2.707  2.707  0.051  2.656  0.000   81.3    0.8   80.5    0.0
 2001 282    44  12.20  17.20  13.70  2.685  2.685  0.054  2.631  0.000   84.0    0.8   83.2    0.0
 2001 283    45  23.50  23.60  10.30  5.455  3.430  0.189  3.240  0.000   87.4    1.0   86.4    0.0
 2001 284    46  25.30  21.40  13.10  5.845  1.784  0.224  1.561  0.000   89.2    1.2   88.0    0.0
 2001 285    47  13.60  20.60  12.60  3.095  1.289  0.130  1.159  0.000   90.5    1.4   89.1    0.0
 2001 286    48  21.10  23.30  10.90  4.897  1.187  0.222  0.965  0.000   91.7    1.6   90.1    0.0
 2001 287    49  20.40  24.20  13.50  4.890  1.084  0.239  0.845  0.000   92.8    1.8   90.9    0.0
