*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 29, 2016; 09:16:37

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0405 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   PRED   DYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 2001 015   143    0.0   13.9   14.9   25.7   51.4   0.20   28.3   20.6   24.5   25.9   20.6   24.5   25.9   86.4    330
 2001 016   144    0.0   13.8   14.9   23.1   46.2   0.28   29.9   19.8   24.9   26.8   19.8   24.9   26.8   86.4    330
 2001 017   145    4.0   13.8   14.9   14.9   29.8   0.54   26.5   20.1   23.3   24.5   20.1   23.3   24.5   86.4    330
 2001 018   146    2.0   13.8   14.9   12.6   25.2   0.61   25.0   21.5   23.3   23.9   21.5   23.3   23.9   86.4    330
 2001 019   147    0.0   13.8   14.9   14.8   29.6   0.54   26.4   18.0   22.2   23.8   18.0   22.2   23.8   86.4    330
 2001 020   148    0.0   13.8   14.8   30.3   60.6   0.05   25.8   14.1   20.0   22.1   14.1   20.0   22.1   86.4    330
 2001 021   149    0.0   13.8   14.8   30.6   61.2   0.04   26.3   12.4   19.4   22.0   12.4   19.4   22.0   86.4    330
 2001 022   150    0.0   13.7   14.8   13.9   27.8   0.56   28.1   14.8   21.5   23.9   14.8   21.5   23.9   86.4    330
 2001 023   151    0.0   13.7   14.8   30.6   61.2   0.04   30.5   17.9   24.2   26.5   17.9   24.2   26.5   86.4    330
 2001 024   152    0.0   13.7   14.8   29.9   59.8   0.06   32.2   16.3   24.3   27.2   16.3   24.3   27.2   86.4    330
 2001 025   153    0.0   13.7   14.7   28.5   57.0   0.10   32.3   19.7   26.0   28.3   19.7   26.0   28.3   86.4    330
 2001 026   154   10.0   13.6   14.7   22.7   45.4   0.28   33.4   20.3   26.9   29.3   20.3   26.9   29.3   86.4    330
 2001 027   155   13.0   13.6   14.7    9.9   19.8   0.69   25.5   21.6   23.6   24.3   21.6   23.6   24.3   86.4    330
 2001 028   156    0.0   13.6   14.7    8.7   17.4   0.72   21.6   18.5   20.1   20.6   18.5   20.1   20.6   86.4    330
 2001 029   157    0.0   13.6   14.6   28.0   56.0   0.11   26.9   12.2   19.6   22.2   12.2   19.6   22.2   86.4    330
 2001 030   158    0.0   13.6   14.6   29.3   58.6   0.07   26.4   15.7   21.1   23.0   15.7   21.1   23.0   86.4    330
 2001 031   159    0.0   13.5   14.6   26.5   53.0   0.15   30.5   18.1   24.3   26.6   18.1   24.3   26.6   86.4    330
 2001 032   160    0.0   13.5   14.6   18.7   37.4   0.40   30.2   20.8   25.5   27.2   20.8   25.5   27.2   86.4    330
 2001 033   161    0.0   13.5   14.5   28.8   57.6   0.07   32.4   20.6   26.5   28.6   20.6   26.5   28.6   86.4    330
 2001 034   162    0.0   13.5   14.5   26.0   52.0   0.16   25.7   17.2   21.4   23.0   17.2   21.4   23.0   86.4    330
 2001 035   163    0.0   13.4   14.5   29.5   59.0   0.05   28.6   14.1   21.3   24.0   14.1   21.3   24.0   86.4    330
 2001 036   164    0.0   13.4   14.4   28.6   57.2   0.07   27.5   18.7   23.1   24.7   18.7   23.1   24.7   86.4    330
 2001 037   165    0.0   13.4   14.4   29.3   58.6   0.05   31.6   16.2   23.9   26.6   16.2   23.9   26.6   86.4    330
 2001 038   166    0.0   13.4   14.4   29.3   58.6   0.04   34.3   20.3   27.3   29.8   20.3   27.3   29.8   86.4    330
 2001 039   167   39.5   13.3   14.4   12.4   24.8   0.59   29.9   20.3   25.1   26.8   20.3   25.1   26.8   86.4    330
